Tipo de inmueble,Delegaci√≥,Precio,¡rea total en metros cuadrados,¡rea construida en metros cuadrados,Precio por metro cuadrado,Latitud,Longitud
departamento,Miguel Hidalgo,8293458.17,255,255,32820.26667,19.414261,-99.104118
departamento,¡lvaro ObregÛn,1387335.08,42,42,33333.33333,19.443152,-99.202733
departamento,Cuauht√©mo,2010975.1,105,105,19326.98095,19.364996,-99.241523
departamento,Tlalpan,1039510.43,95,95,11042.10526,19.408904,-99.174556
departamento,¡lvaro ObregÛn,1238692.07,60,60,20833.33333,19.290953,-99.124863
casa,Iztapalapa,1037528.39,154,154,6798.701299,19.390806,-99.195413
departamento,Cuajimalpa,20814963.31,555,555,37837.83784,19.336441,-99.010132
departamento,¡lvaro ObregÛn,6292556.14,168,168,37797.61905,19.35735,-99.299792
departamento,¡lvaro ObregÛn,4620921.74,146,100,46620,19.3609784,-99.2084005
casa,Tlalpan,2948786.47,240,140,21250,19.390806,-99.195413
departamento,Cuauht√©mo,1387335.08,137,137,10218.9781,19.2865191,-99.2283274
departamento,Miguel Hidalgo,23634873.95,206,206,6100.029126,19.418048,-99.158527
departamento,Miguel Hidalgo,9318923.92,288,288,32652.76042,19.407269,-99.190754
casa,Tlalpan,2171674.92,130,130,16857.69231,19.443178,-99.20237
casa,Miguel Hidalgo,63008475,1100,1200,2791.666667,19.281164,-99.20237
departamento,Miguel Hidalgo,599526.95,70,70,8642.857143,19.4122137,-99.2153341
departamento,Azcapotzalco,805447.11,70,70,11611.42857,19.405883,-99.183079
departamento,Coyoac√°,991188.57,63,63,15873.01587,19.471896,-99.224024
casa,Iztapalapa,1387664.04,252,252,5555.555556,19.309208,-99.171906
casa,Coyoac√°,4905220.87,260,260,19038.46154,19.354297,-98.9978448
departamento,Coyoac√°,896812.97,60,60,15083.33333,19.306892,-99.105556
departamento,Benito Ju√°re,2965924.4,75,75,39906.66667,19.304501,-99.123121
departamento,Cuauht√©mo,4550459.46,64,64,71750,19.39365,-99.14769
departamento,Benito Ju√°re,1248601.52,75,75,16800,19.409369,-99.171906
departamento,¡lvaro ObregÛn,4756577.86,150,150,32000,19.36269,-99.150565
casa,Cuajimalpa,21305505.17,682,682,31524.92669,19.3392293,-99.2189838
departamento,Gustavo A. Madero,2477384.14,208,208,12019.23077,19.395424,-99.258068
departamento,Iztacalco,1683630.27,51,51,33313.72549,19.464712,-99.124872
departamento,Benito Ju√°re,3121504.17,97,97,32474.2268,19.400097,-99.122093
departamento,Azcapotzalco,1441011.15,75,75,19388.88,19.367025,-99.170349
departamento,Tlalpan,1308058.76,65,65,20307.69231,19.484532,-99.207027
casa,Iztacalco,4361230.34,200,450,9777.777778,19.278198,-99.200831
departamento,Iztacalco,715468.56,74,74,9756.756757,19.3972156,-99.0648632
departamento,Cuauht√©mo,979309.88,75,75,13176.66667,19.383251,-99.105499
departamento,Cuauht√©mo,1401208.42,60,60,23566.66667,19.461871,-99.129227
departamento,Cuauht√©mo,5451537.83,164,164,33536.58537,19.422398,-99.167129
departamento,Azcapotzalco,870017.63,52,52,16883.84615,19.41498,-99.177444
departamento,Coyoac√°,1994858.47,63,63,31945.90476,19.484102,-99.18436
departamento,Miguel Hidalgo,13542120,160,160,4500,19.303736,-99.163605
departamento,Miguel Hidalgo,744537.1,75,75,10017.78667,19.407269,-99.190754
casa,Tlalpan,3894448.13,400,400,9736.120325,19.453513,-99.210223
casa,Iztapalapa,3270922.66,160,198,16666.66667,19.30260564,-99.20580268
departamento,¡lvaro ObregÛn,3389061.67,120,120,28500,19.36619489,-99.12114143
departamento,Venustiano Carranza,653038.45,50,50,13180,19.365766,-99.263112
departamento,Coyoac√°,748070.84,76,76,9932.894737,19.439037,-99.119514
casa,Miguel Hidalgo,22301746.27,450,600,37500,19.350214,-99.162146
casa,¡lvaro ObregÛn,3032318.4,300,300,10200,19.4010793,-99.2480728
departamento,¡lvaro ObregÛn,891858.25,66,66,13636.36364,19.367477,-99.222025
departamento,Iztapalapa,653038.45,60,60,10983.33333,19.384327,-99.215523
departamento,Cuauht√©mo,2696054.96,100,100,27206.67,19.317698,-99.061256
departamento,Azcapotzalco,1288545.31,90,90,14444.44444,19.422201,-99.159447
casa,Cuajimalpa,1189426.4,247,247,4858.299595,19.503195,-99.206723
departamento,Cuauht√©mo,4241281.95,74,74,57837.83784,19.364245,-99.302638
departamento,Benito Ju√°re,3171803.93,95,95,33684.21053,19.405298,-99.164986
departamento,Gustavo A. Madero,644119.84,59,59,11016.94915,19.3687777,-99.1897886
departamento,Iztapalapa,596554.08,65,65,9261.538462,19.524143,-99.160149
departamento,Venustiano Carranza,587305.56,40,40,14816.675,19.325608,-99.06112
departamento,Benito Ju√°re,2972861.16,100,100,30000,19.457685,-99.121754
departamento,¡lvaro ObregÛn,1611290.71,70,70,23228.57143,19.3677299,-99.1527773
departamento,Cuauht√©mo,9790254.21,243,243,40656.90535,19.332149,-99.244008
casa,¡lvaro ObregÛn,1501333.59,148,148,10234.32432,19.420103,-99.171297
casa,Azcapotzalco,3171051.78,320,320,10000,19.352528,-99.217276
departamento,Miguel Hidalgo,27272325,220,220,6590.909091,19.481972,-99.199944
departamento,Iztacalco,1684621.29,64,64,26562.5,19.407269,-99.190754
departamento,Coyoac√°,1241628.26,540,540,2319.751852,19.410307,-99.065399
departamento,Benito Ju√°re,4806125.47,112,112,43303.57143,19.334351,-99.11442
casa,Gustavo A. Madero,1852092.36,204,204,9161.764706,19.403489,-99.156312
departamento,Benito Ju√°re,1032573.67,60,60,17366.66667,19.515999,-99.155679
casa,¡lvaro ObregÛn,37617000,1332,619,3231.017771,19.379109,-99.187689
departamento,Miguel Hidalgo,971134.57,85,85,11529.41176,19.34724265,-99.18384176
departamento,Tlalpan,1288239.68,50,50,26000,19.452419,-99.175058
departamento,Cuauht√©mo,4790702.12,83,83,57719.30265,19.287188,-99.170525
departamento,Azcapotzalco,831409.99,60,60,13983.33333,19.4152179,-99.1790121
casa,Gustavo A. Madero,5372242.88,370,370,14648.64865,19.475187,-99.175019
departamento,Miguel Hidalgo,9116774.3,100,100,92000,19.508795,-99.125714
departamento,Benito Ju√°re,2269283.89,120,120,19083.33333,19.438042,-99.188619
departamento,Benito Ju√°re,2675574.95,81,81,33333.33333,19.367931,-99.170262
departamento,Iztapalapa,1139596.67,101,101,11386.13861,19.367424,-99.185753
departamento,Tlalpan,874021.02,76,76,11605.26316,19.314895,-99.09423
departamento,Benito Ju√°re,2632597.15,64,64,41500,19.273716,-99.186416
departamento,Benito Ju√°re,1633091.64,75,75,21973.33333,19.365391,-99.18956
departamento,Iztapalapa,357941.36,43,43,8400.209302,19.396862,-99.172659
departamento,Benito Ju√°re,3171051.78,100,100,32000,19.346609,-99.072311
departamento,Benito Ju√°re,3469160.49,106,106,33018.86792,19.410307,-99.065399
casa,La Magdalena Contreras,2852720.36,294,294,9789.387755,19.37144801,-99.14978743
casa,Gustavo A. Madero,2873765.76,250,250,11600,19.307933,-99.240102
departamento,Miguel Hidalgo,11755312.5,350,350,1785.714286,19.486041,-99.067297
casa,Benito Ju√°re,3864719.42,235,235,16595.74468,19.420166,-99.220367
departamento,Azcapotzalco,1417694.07,85,85,16831.01176,19.422243,-99.127305
departamento,Benito Ju√°re,1780674.42,116,116,15490.77586,19.469418,-99.164299
departamento,Miguel Hidalgo,5848013.48,60,60,98333.33333,19.387782,-99.186194
casa,Coyoac√°,2834799.62,300,300,9533.333333,19.411472,-99.188522
departamento,Benito Ju√°re,8621297.28,213,213,40845.07042,19.311361,-99.109672
departamento,Miguel Hidalgo,34795725,400,400,4625,19.388965,-99.171897
departamento,Xochimilco,1139866.94,53,53,21698.11321,19.39671427,-99.23749298
departamento,Miguel Hidalgo,1129092.49,70,70,16277.14286,19.262049,-99.1138
departamento,Miguel Hidalgo,18714457.5,330,330,3015.151515,19.402944,-99.199727
departamento,Benito Ju√°re,1022664.22,75,75,13760,19.413143,-99.2305521
departamento,Coyoac√°,1174280.1,70,70,16928.57143,19.379525,-99.188914
casa,Benito Ju√°re,5689423.22,206,450,12755.55556,19.346767,-99.123658
